Date,Daily Change
2004-01-20,0.005948999999999982
2004-01-22,0.003090000000000037
2004-03-02,-0.003674000000000066
2004-04-13,-0.0042880000000000695
2004-04-15,0.0002769999999999717
2004-06-08,-0.0016540000000000443
2004-07-20,-0.0027409999999999934
2004-07-22,0.0032729999999999704
2004-09-08,-0.0018650000000000055
2004-10-19,0.0005060000000000064
2004-10-21,0.0008399999999999519
2004-12-07,-0.005102999999999969
2005-01-25,-0.007345000000000046
2005-01-27,-0.002950000000000008
2005-03-01,-0.0042440000000000255
2005-04-12,-0.0028170000000000694
2005-04-14,-0.003121999999999958
2005-05-25,-0.0016319999999999668
2005-07-12,0.007719000000000031
2005-07-14,-0.0012299999999999534
2005-09-07,0.0007780000000000564
2005-10-18,0.002450999999999981
2005-10-20,-0.0010109999999999841
2005-12-06,0.00014999999999998348
2006-01-24,-0.0023400000000000087
2006-01-26,0.001815000000000011
2006-03-07,-0.007556000000000007
2006-04-25,0.004121000000000041
2006-04-27,0.0033959999999999546
2006-05-24,0.003969999999999918
2006-07-11,-0.0069269999999999055
2006-07-13,0.0012480000000000269
2006-09-06,0.004478000000000093
2006-10-17,-0.0029329999999999634
2006-10-19,0.005621000000000098
2006-12-05,-0.0013050000000000006
2007-01-16,-0.005675000000000097
2007-03-06,0.003242999999999996
2007-04-24,0.0003969999999999807
2007-04-26,-0.005595999999999934
2007-05-29,0.00552000000000008
2007-07-10,-0.006144000000000038
2007-07-12,0.008525000000000005
2007-09-05,-0.004163000000000028
2007-10-16,-0.003874999999999851
2007-10-18,0.00031599999999998296
2007-12-04,-0.012255000000000016
2008-01-22,0.007893999999999957
2008-01-24,0.018773999999999957
2008-03-04,-0.00518900000000011
2008-04-22,-0.0011849999999999916
2008-04-24,0.0023279999999999967
2008-06-10,0.00019099999999994122
2008-07-15,0.005059999999999953
2008-07-17,-0.0035769999999999413
2008-09-03,0.0048519999999999675
2008-10-21,-0.012441999999999953
2008-10-23,0.005873000000000017
2008-12-09,-0.0041800000000000725
2009-01-20,-0.007692000000000032
2009-01-22,0.0048160000000000425
2009-03-03,-0.0017370000000000996
2009-04-21,0.00013099999999999223
2009-04-22,-0.0010439999999999339
2009-06-04,0.009678000000000075
2009-07-21,0.0008980000000000654
2009-07-23,0.009515000000000051
2009-09-10,0.0012039999999999829
2009-10-20,-0.01853500000000008
2009-10-26,-0.014221999999999957
2009-12-08,-0.01333899999999999
2010-01-19,-0.006526000000000032
2010-01-21,-0.004917999999999978
2010-03-02,0.0063949999999999285
2010-04-20,0.016300000000000092
2010-04-22,-0.002597999999999989
2010-06-01,-0.00973400000000002
2010-07-20,0.010444000000000009
2010-07-22,0.010676000000000019
2010-09-08,-0.011334000000000066
2010-10-19,-0.004106000000000054
2010-10-20,-0.015104000000000006
2010-12-07,-0.002946000000000004
2011-01-18,0.00024599999999996847
2011-01-19,-0.005003000000000091
2011-03-01,0.006836999999999982
2011-04-12,-2.2000000000188535e-05
2011-04-13,-0.006740999999999886
2011-05-31,0.0003569999999999407
2011-07-19,-0.006009999999999849
2011-07-20,0.010313999999999934
2011-09-07,0.001427000000000067
2011-10-25,0.005925000000000069
2011-10-26,-0.012943000000000038
2011-12-06,0.00019399999999991646
2012-01-17,0.0064270000000000715
2012-01-18,0.0027119999999999367
2012-03-08,0.00290199999999996
2012-04-17,-0.0007509999999999462
2012-04-18,0.010925000000000074
2012-06-05,0.005345000000000044
2012-07-17,-0.0009720000000000839
2012-07-18,0.003019000000000105
2012-09-05,-0.00050400000000006
2012-10-23,0.0022409999999999375
2012-10-24,-0.0006099999999999994
2013-01-23,0.0009139999999998594
2013-03-06,-9.500000000006725e-05
2013-04-17,0.0011769999999999836
2013-05-29,-0.005713000000000079
2013-07-17,0.005236000000000018
2013-09-04,0.0014840000000000408
2013-10-23,0.001527000000000056
2013-12-04,0.00026500000000007073
2014-01-22,-0.0012990000000000501
2014-03-05,-0.0006840000000000179
2014-04-16,-0.0013609999999999456
2014-06-04,-0.0011590000000000211
2014-07-16,-0.003834000000000004
2014-09-03,-0.005135000000000001
2014-10-22,0.005047999999999941
2014-12-03,-0.0061989999999999545
2015-01-21,-0.010918000000000094
2015-03-04,0.00357799999999997
2015-04-15,0.006889999999999952
2015-05-27,-0.006865999999999928
2015-07-15,0.0008620000000000294
2015-09-09,0.005538000000000043
2015-10-21,0.002035000000000009
2015-12-02,-0.0006279999999999619
2016-01-20,-0.0008829999999999671
2016-03-09,-0.006952999999999987
2016-04-13,0.008665999999999952
2016-05-25,0.0011590000000000211
2016-07-13,0.0038160000000000416
2016-09-07,0.005014999999999992
2016-10-19,0.00040200000000001346
2016-12-07,-0.00028399999999995096
2017-01-18,0.006583999999999923
2017-03-01,-0.0070869999999999544
2017-04-12,-0.00017500000000003624
2017-05-24,-0.0016059999999999963
2017-09-06,0.002917999999999976
2017-10-25,-0.0019979999999999443
2017-12-06,-0.001056000000000057
2018-01-17,-4.500000000007276e-05
2018-03-07,0.0018439999999999568
